State Name,District Name,Block Name,Panchayat Name,Village Name,Habitation Name,Quality Parameter,Year
BIHAR,SAHARSA,SAUR BAZAR,GAMHARIYA,GAMHARIA,MEHATA TOLA,Iron,1/4/2010
TRIPURA,SOUTH TRIPURA,RUPAICHARI,SUKNACHARI,JAYANTA PARA,KAMAL CHARI PARA,Iron,1/4/2009
BIHAR,GAYA,IMAMGANJ,LAWABAR,BARA,BARA,Fluoride,1/4/2010
ORISSA,KENDUJHAR,PATNA,TANGARPADA,BRAHMANIDEO,MAJHI SAHI,Iron,1/4/2011
ORISSA,PURI,KANAS,KHANDAHATA,NABADA,NABEDA,Salinity,1/4/2009
RAJASTHAN,BARMER,BARMER,MAHABAR,MAHABAR,RAWTANI BHEELON KD,Salinity,1/4/2009
ORISSA,JAJAPUR,DANGADI,DHULIGARH,DHULIGARH,GOPALPUR,Iron,1/4/2010
ORISSA,CUTTACK,NIALI,NUAGAN,ALANA,ALANA,Iron,1/4/2011
KARNATAKA,BELGAUM,ATHANI,KEMPAWAD,KEMPAWAD,KOULGUDDA,Fluoride,1/4/2011
TRIPURA,NORTH TRIPURA,DASDA,DAKSHIN LALJURI,DHANANJOY PARA,HARIPUR,Iron,1/4/2009
RAJASTHAN,JODHPUR,SHERGARH,DEVRAJGARH,KERALA,KANTI JA,Salinity,1/4/2012
RAJASTHAN,SAWAI MADHOPUR,BONLI,UDGAON,KUTKA,CHOTI BENSLA DHANI,Fluoride,1/4/2011
CHHATTISGARH,KANKER,CHARAMA,TAHKAPAR,TAHKAPAR,KHASPARA2,Iron,1/4/2012
KARNATAKA,BANGLORE URBAN,BANGALORE EAST,KODATHI,SULLIKUNTE,SULLIKUNTE,Iron,1/4/2009
ORISSA,MALKANGIRI,Mathili,Kuntunlipally,NETALAGANDKI,KULABEDA,Iron,1/4/2010
ASSAM,DARRANG,SIPAJHAR,CHENGELIAJHAR,KENDUGURI,DEKAPARA CHUBA,Iron,1/4/2011
RAJASTHAN,NAGAUR,RIYAN,BARAYALI,BHENSRA KALAN,BHENSRA KALAN,Fluoride,1/4/2009
BIHAR,BANKA,BAUSI,GOKULA,KHANGAR,JOGIYA,Fluoride,1/4/2012
ORISSA,PURI,ASTARANG,NAIGUAN,OSTAPUK,KUMBHARA SAHI,Iron,1/4/2009
ASSAM,DHUBRI,MANKACHAR,PATHURIA,PATHURIA,DIARA BAZAR,Iron,1/4/2009
BIHAR,PURNIA,BARHARA,SUKHSENA WEST,SUKHSENA WEST,83 TOLA,Iron,1/4/2010
BIHAR,SUPAUL,SUPAUL,BASBITTI,BASPITI,M. HARIJAN TOLA,Iron,1/4/2010
CHATTISGARH,KANKER,NARHARPUR,GHOTIYAWAHI,KHAJRAWAN,KHASPARA 1,Iron,1/4/2009
BIHAR,BANKA,BELHAR,JHIKULIA,JHIKULIA,GARI,Fluoride,1/4/2011
CHHATTISGARH,BEMETARA,NAWAGARH,BELTUKARI,TINGALI JEWARA,TINGALIN JEWARA,Salinity,1/4/2012
ORISSA,MALKANGIRI,Malkangiri,Pedakonda,Mango,MONGA,Iron,1/4/2010
