State Name,District Name,Block Name,Panchayat Name,Village Name,Habitation Name,Quality Parameter,Year
ASSAM,SONITPUR,BALIPARA,NIZ-GOROIMARI,NIZ GOROI MARI,NIZ GOROIMARI CENTRAL,Iron,1/4/2012
RAJASTHAN,BANSWARA,SAJJANGARH,MAGARDA,NAGARDA-KHATELA-SATH,MAGARDA KHATELA SATH,Fluoride,1/4/2012
MAHARASHTRA,PARBHANI,PARBHANI,ALAND,ALAND,ALAND,Iron,1/4/2009
RAJASTHAN,BARMER,SINDHARY,KHARA MAHECHAN,GALA NADI,SUTHARO KI DHANI,Salinity,1/4/2012
RAJASTHAN,BARMER,DHORIMANA,NEHARO KI NADI,HARPUNIYON WALA,RUGNAL KI DHANI,Salinity,1/4/2009
CHATTISGARH,MAHASAMUND,SARAIPALI,SIRBODA,CHHIRRAKHAR,CHHIRRAKHAR,Iron,1/4/2009
RAJASTHAN,JODHPUR,SHERGARH,GADA,RATANPURA,DEWARON KD,Salinity,1/4/2009
BIHAR,MADHEPURA,SHANKARPUR,RAIBHAR,BASANTPUR,TATMA TOLA,Iron,1/4/2010
BIHAR,PURNIA,KRITYANAND NAGAR,GANGIALY,GANGAILI,BARMASIA MOCHI,Iron,1/4/2011
TRIPURA,SOUTH TRIPURA,SATCHAND,BETAGA,SUBAL PARA,MOUCHANDRA PUR,Iron,1/4/2012
RAJASTHAN,NAGAUR,PARBATSAR,DHADHOTA,DHADHOTA,DODIWALO KI DHANI,Salinity,1/4/2009
RAJASTHAN,AJMER,MASUDA,ANDHI DEORI,BHARKALA,MAYLA BADIA,Salinity,1/4/2011
RAJASTHAN,BARMER,CHOHTAN,BURAN KA TALA,BURAHAN KA TALA,BURAN KA TALA,Salinity,1/4/2011
RAJASTHAN,AJMER,PISANGAN,MANGALIYAWAS,MANGALIYAWAS,MANGALIYAWAS,Fluoride,1/4/2009
CHATTISGARH,DHAMTARI,DHAMTARI,CHAATI,CHHATI,AWASPARA,Iron,1/4/2009
RAJASTHAN,RAJSAMAND,DEOGARH,VIJAYPURA,KITOKA WADIYA,KITO KA BADIYA,Fluoride,1/4/2009
BIHAR,SUPAUL,SUPAUL,BALHA,BALHA,M. HARIJAN TOLA,Iron,1/4/2011
ASSAM,NAGAON,BINNAKANDI,KAPASHBARI,KAKPASH BARI,HANNAN BASTI,Fluoride,1/4/2009
BIHAR,BEGUSARAI,TEGHRA,BAROUNI-III,BAROUNI (PART),BAKHTAR STHAN,Iron,1/4/2010
BIHAR,ARARIA,FORBESGANJ,KHAIRKHAN,SAMAUL,SAMAUL,Iron,1/4/2009
RAJASTHAN,NAGAUR,DEGANA,NIMBARI CHANDAWATAN,DHADHARIYA KALAN,CHHARAUGO KI DHANI II,Fluoride,1/4/2011
KARNATAKA,BIJAPUR,MUDDEBIHAL,RUDAGI,GUNDAKARAJAGI,GUNDAKARAJAGI,Fluoride,1/4/2012
RAJASTHAN,BARMER,BALOTRA,SAJIYALI ROOPJI RAJA BARI,SAJIYALI MOOLRAJ-2,NIMBANIYO KI DHANI,Salinity,1/4/2011
RAJASTHAN,RAJSAMAND,RAILMAGRA,JAWASIYA,SANWALPURA,SAWALPURA,Fluoride,1/4/2009
BIHAR,BEGUSARAI,GARHPURA,SONWAN,SONWAN,SONWAN,Iron,1/4/2011
ASSAM,SONITPUR,BAGHMARA,ROTOWA,NO.2 ROTOWA,ROTOWA BLOCK,Iron,1/4/2009
CHATTISGARH,BASTAR,TOKAPAL,KURENGA,KURENGA,KURMIGUDA,Iron,1/4/2009
BIHAR,SAHARSA,NAUHATTA,DARHAR,DARHAR,SITALI,Iron,1/4/2010
KARNATAKA,TUMKUR,KUNIGAL,MADAKEHALLI,MENASINAHALLI,THIRUMALAIAHANAPALYA,Salinity,1/4/2011
TRIPURA,NORTH TRIPURA,PECHARTHAL,JOYMANI PARA,JOYMANI PARA,SINGARAM BARI,Iron,1/4/2009
RAJASTHAN,NAGAUR,MUNDWA,KURCHI,ISAR NAVRA,BENIWAL KI DHANI,Fluoride,1/4/2010
BIHAR,SUPAUL,RAGHOPUR,JAGDISHPUR,JAGDISPUR,MEHTA TOLA II,Iron,1/4/2009
BIHAR,KATIHAR,BARARI,ROUNIA,ADDA MILIK,ADDA MILIK,Iron,1/4/2010
BIHAR,MADHEPURA,CHAUSA,GHOSAI,GHOSAI,DAUBATHA BASA,Iron,1/4/2010
RAJASTHAN,BHARATPUR,NAGAR,JALUKI,PEEPLOO,PEEPLOO,Salinity,1/4/2011
BIHAR,BEGUSARAI,MANSURCHAK,MANSURCHAK,MANSUR CHAK,WEST TOLA,Iron,1/4/2009
ASSAM,KOKRAJHAR,GOSSAIGAON,BHAWRAGURI,BHOWRAGURI-BARUAPARA-I,UTTAR BHOWRAGURI BORUA PARA-I,Iron,1/4/2011
BIHAR,NALANDA,GIRIAK,PURAINI,HASANPUR,HASAN PUR,Fluoride,1/4/2012
BIHAR,BEGUSARAI,BACHHWARA,RANI-II,RANI (PART),AYODHYA TOLA,Iron,1/4/2010
CHATTISGARH,BASTAR,TOKAPAL,DEORGAON,KOHAKAPAL,THOTA PARA,Iron,1/4/2011
CHHATTISGARH,DANTEWADA,DANTEWADA,PADHAPUR,PADHAPUR,PATEL /SCHOOL PARA,Iron,1/4/2012
BIHAR,SUPAUL,RAGHOPUR,JAGDISHPUR,KARJAIN,MEHTA TOLA,Iron,1/4/2010
ASSAM,SIBSAGAR,DEMOW,PACHIM PANIDIHING,HATIGHARIA GAON,RONGAMATI,Iron,1/4/2009
MADHYA PRADESH,DHAR,DHARAMPURI,UMARIYA,UMARIYA,JUNA PANI,Fluoride,1/4/2010
TRIPURA,WEST TRIPURA,MUNGIAKAMI,ATHARAMURA,BALAIKANG,BILADHAN,Iron,1/4/2009
ORISSA,KENDUJHAR,BANSPAL,SUAKATI,DANLA,DANLA BHUYANSAHI,Iron,1/4/2012
ORISSA,BHADRAK,TIHIDI,MUKUNDAPUR,ARASA,ARASA,Iron,1/4/2009
ORISSA,PURI,KAKATPUR,KUNDHEI,BAJAPUR,BAJAPUR,Iron,1/4/2009
ASSAM,JORHAT,KALIAPANI,CHINTAMONIGARH,GHARACHOWA  HABI  GAON,1 NO. BORA SAIKIA CHUCK,Iron,1/4/2011
UTTAR PRADESH,MIRZAPUR,NARAINPUR,BAGHEDI,BAGHEDA,BAGHEDHA,Iron,1/4/2010
RAJASTHAN,HANUMANGARH,HANUMANGARH,SALIWALA,7 SBN,7 SBN,Salinity,1/4/2010
CHATTISGARH,BASTAR,TOKAPAL,MAWLIBHATA,MAVLIBHATA,BAKTI PARA,Iron,1/4/2010
BIHAR,BEGUSARAI,MANSURCHAK,GOVNDPUR-II,GOVINDPUR,WEST TOLA,Iron,1/4/2010
BIHAR,PURNIA,KRITYANAND NAGAR,SAHARA,PATHAK CHAKLA,PATHAK CHAKLA SANTHAL,Iron,1/4/2009
WEST BENGAL,NORTH 24 PARGANAS,BARRACKPUR - I,MAJHIPARA - PALASHI,DARIALA,CHIMTA TALA,Arsenic,1/4/2010
ASSAM,NAGAON,JURIA,TINSUKIA,TINSUKIA,PACHIM TINSUKIA,Iron,1/4/2011
ORISSA,PURI,SATYABADI,BALAPUR,RAICHAKRADHARPUR,BAUMPAL,Iron,1/4/2010
BIHAR,SAMASTIPUR,MOHIUDDINAGAR,RAJA JAN,BAHADUR CHAK,BAHADUR CHAK,Arsenic,1/4/2009
ORISSA,CUTTACK,NIALI,NIALI,PUBAKHANDA,PURBAKHANDA,Iron,1/4/2011
BIHAR,PURNIA,DHAMDAHA,RANGPURA NORTH,RANGPURA NORTH,MIR GANJ,Iron,1/4/2012
ORISSA,KORAPUT,KUNDRA,MASIGAM,MOSSIGAM,KULUMULI,Iron,1/4/2010
KERALA,PALAKKAD,PALAKKAD,KODUMBA,KODUMBA,KADAMKODU,Fluoride,1/4/2012
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,SABDALPUR,SABDALPUR,HARIJAN TOL,Iron,1/4/2012
KARNATAKA,UDUPI ,KARKAL,HEBRI,CHARA,CHARA,Iron,1/4/2010
BIHAR,SHEIKHPURA,ARIARI,SANAIA,PANDHAR,PANDHAR,Fluoride,1/4/2009
ORISSA,PURI,DELANG,BERBOI,BERABOI,MAJHI SAHI,Iron,1/4/2009
ORISSA,PURI,NIMAPARA,MITEIPUR,BHILISASAN,SATAPURI,Iron,1/4/2010
RAJASTHAN,JODHPUR,BILARA,SAMBHADIYA,BEEJASANI,CHOKIDARON KD,Fluoride,1/4/2012
ASSAM,SIBSAGAR,SAPEKHATI,BORHAT,NAGAKATA GAON,NAGAKOTA GAON,Iron,1/4/2011
RAJASTHAN,JODHPUR,MANDOR,KHATIYASANY,KHATIYASANI,JOGADI K D,Salinity,1/4/2011
BIHAR,BEGUSARAI,BACHHWARA,CHAMATHA-III,CHIRAIYATOK,WEST TOLA,Iron,1/4/2009
ORISSA,ANUGUL,ATHAMALLIK,MADHAPUR,DIGIPADAR,PANA SAHI,Iron,1/4/2012
BIHAR,KISHANGANJ,TERHAGACHH,DAK POKHAR,RAHMATPUR,JADI TOLA,Iron,1/4/2012
BIHAR,KATIHAR,KORHA,KHERIA,KHIRIA,TINPANIA,Iron,1/4/2009
ASSAM,GOLAGHAT,GOLAGHAT NORTH,PUB MISSAMARA,EKORANI,IKARANI CHUK,Iron,1/4/2010
BIHAR,BEGUSARAI,KHUDABANDPUR,DAULAT PUR,BEGAMPUR,GACHI TOLA,Iron,1/4/2010
RAJASTHAN,NAGAUR,KUCHAMAN,SHIV,SHIVPURVI,SHIV PURVI,Fluoride,1/4/2009
ORISSA,BALESHWAR,BALESWAR SADAR,GOPINATHPUR,GOBINDPUR,GOBINDAPUR,Salinity,1/4/2009
UTTAR PRADESH,BALLIA,BELHARI,GANGA PUR,GANGA PUR,SHAHPUR,Arsenic,1/4/2009
CHHATTISGARH,BALRAMPUR,RAMCHANDRAPUR,PURANDIH,PURANDIH,PURVTOLA,Iron,1/4/2012
KARNATAKA,KOLAR,BANGARAPET,HULKUR,NAYANAHALLY,NAYANAHALLY,Fluoride,1/4/2011
CHHATTISGARH,KANKER,KOILEBEDA,MATOLI,YOGNDRA NAGAR,MANDIR PARA,Iron,1/4/2012
WEST BENGAL,JALPAIGURI,MAYNAGURI,CHURAVANDER,RATHERHAT,RAGHUR BARI (W),Iron,1/4/2012
TRIPURA,WEST TRIPURA,JIRANIA,PURBA DEBENDRANAGAR,CHANDRA SADU PARA,CHANDRA SADU PARA,Iron,1/4/2011
ORISSA,PURI,KAKATPUR,PATASUNDARPUR,BHANDISAHI,DALEI SAHI,Iron,1/4/2010
PUNJAB,JALANDHAR,ADAMPUR,ARJANWAL,ARJANWAL,ARJANWAL,Salinity,1/4/2009
ASSAM,TINSUKIA,KAKAPATHAR,DUWARMARA.,NALANI GAON NO.2,CHUNGJAN CHUK,Iron,1/4/2011
ORISSA,CUTTACK,TANGI AND CHOUDWAR,SALAGAON.,NELIA,NANDUA,Iron,1/4/2010
ASSAM,LAKHIMPUR,DHAKUAKHANA,DIMARU GURI,NO.2 DAMUGURI DANGDHA,NO.2 DIMARU GURI DANG DHARA,Iron,1/4/2009
ORISSA,KHORDHA,BALIPATNA,MARTHAPUR,SUMUDI,NUA PADA,Iron,1/4/2009
CHATTISGARH,SURGUJA,SURAJPUR,AJIRMA,AJIRMA,PATELPARA,Iron,1/4/2010
RAJASTHAN,JAISALMER,SANKRA,LAWAN,LAWAN,KUMNARO KI DHANI,Fluoride,1/4/2010
CHATTISGARH,KORBA,KORBA,BARPALI,BARPALI,KALMITIKRA,Iron,1/4/2009
RAJASTHAN,JODHPUR,SHERGARH,GADA,GARA,MOOLE JI KD,Salinity,1/4/2011
RAJASTHAN,JODHPUR,OSIAN,HATUNDI,HATUNDI,KAKRON KI DHANI,Fluoride,1/4/2011
WEST BENGAL,MEDINIPUR,GOPIBALLAV PUR -II,BELIABERA,MAHULI,MAHULI,Iron,1/4/2011
MADHYA PRADESH,BALAGHAT,LALBURRA,TEKADI (LA),TEKADI,TEKADI (LA) BASTI,Fluoride,1/4/2009
ASSAM,CHIRANG,MANIKPUR,FAGUNAGAON KOPTUPLI,KOPTUPULI,BENGULI PARA,Iron,1/4/2012
KERALA,KASARAGOD,MANJESWARAM,ENMAKAJE,ENMAKAJE,WARD II,Iron,1/4/2009
TRIPURA,WEST TRIPURA,TULASIKHAR,PASCHIM CHAMPACHERRA,PASU RAM BARI,I NO. BORAI BARI,Iron,1/4/2009
CHATTISGARH,KORBA,KORBA,LABED,LABED,JUNA PARA,Iron,1/4/2010
BIHAR,PURNIA,BAISI,SRI PUR MALAH TOLI,SIRIPUR MALLAHTOLI,DANGRAHA,Iron,1/4/2009
RAJASTHAN,JHUNJHUNUN,KHETRI,TYONDA,RAMPURA,RAMPURA,Salinity,1/4/2009
BIHAR,KATIHAR,KORHA,RAUTARA,RAUTARA,DAHA TOLA,Iron,1/4/2009
RAJASTHAN,NAGAUR,DIDWANA,THANU,AAS KI DHANI,BHATON KI DHANI,Fluoride,1/4/2010
ASSAM,BAKSHA,GORESWAR,BALAHATI,GAROGAON,MAJOR SUBA,Iron,1/4/2009
BIHAR,PURNIA,KRITYANAND NAGAR,MAJRA,BHAWANIPUR,NAYA MUSHAHARI,Iron,1/4/2012
KARNATAKA,BIJAPUR,INDI,LONI BK,LONI BK,LONI BK,Fluoride,1/4/2009
UTTAR PRADESH,BAHRAICH,TEJWAPUR,DOKARI,DOKARI,BEHAN (BEHNAN CHAURAHA),Arsenic,1/4/2009
BIHAR,SAHARSA,SALKHUA,SAMHAR KHURD,TAJPUR,TAJPUR,Iron,1/4/2010
BIHAR,BANKA,BARAHAT,PANJWARA,JANUKITA,JANTUKITA,Iron,1/4/2011
BIHAR,PURNIA,KRITYANAND NAGAR,SAT KODARIA,ALINAGAR,ALI TOLA,Iron,1/4/2009
RAJASTHAN,BARMER,SHEO,SWAMI KA GAON,KALIJAL,SHER KHAN KI DHANI,Salinity,1/4/2010
RAJASTHAN,BARMER,BARMER,HATHMA,KOTARIYA TALA,BHATIYO KI DHANI,Salinity,1/4/2012
ORISSA,ANUGUL,ATHAMALLIK,AMBASARA MUNDA,MAHIDHARPUR,MAIDHARAPUR,Iron,1/4/2010
BIHAR,BANKA,KATORIA,BARBASNI,BHHALBEHRI,SOUTH TOLA,Fluoride,1/4/2009
WEST BENGAL,NADIA,RANAGHAT - I,NAW PARA MASUNDA,BUDYA NANDAPUR,BIDYANADAPUR,Arsenic,1/4/2010
KARNATAKA,SHIMOGA,SORAB,KUPPAGADDE,KORAKODU,KORAKODU,Fluoride,1/4/2011
ORISSA,PURI,KANAS,KANAS,KANAS,BRAHMANA SAHI,Iron,1/4/2010
MADHYA PRADESH,CHHINDWARA,CHAURAI,MEGHDON,PATLON,PATLON,Fluoride,1/4/2011
ASSAM,SIBSAGAR,SONARI,KAKATIBARI,POHUCHUNGI GAON,TALI CHUK,Iron,1/4/2011
BIHAR,SAHARSA,BANMA ITARHI,JAMALNAGAR,BADSHAH NAGAR,HARIJAN TOLA,Iron,1/4/2009
CHATTISGARH,DANTEWADA,SUKMA,JEERAMPAL,JEERAMPAL,MUTODI PARA,Iron,1/4/2011
RAJASTHAN,NAGAUR,RIYAN,SOODWAR,SHEKHPURA,SHEKHPURA,Fluoride,1/4/2011
BIHAR,SUPAUL,CHHATAPUR,RAJESHWARI WEST,SHAHPUR,CHAMAR TOLA,Iron,1/4/2010
ASSAM,JORHAT,JORHAT,KATANI  GAON,BOSABEHARI GAON,BAKTIPARA,Iron,1/4/2010
ORISSA,Jagatsinghapur,KUJANG,GANDAKIPUR,GANDAKIPUR,SANAMATHA SAHI,Salinity,1/4/2009
ASSAM,DARRANG,DOLGAON-SIALMARI,KOPATI,KOPATI BAGISHA GAON,KOPATI BAGISHA GAON,Iron,1/4/2011
ASSAM,DHEMAJI,MURKONSELEK,SIMENCHAPORI,MAJGAON,MAJGAON,Iron,1/4/2009
RAJASTHAN,BHILWARA,ASIND,PATAN,PATAN,ANAND PURA,Fluoride,1/4/2009
WEST BENGAL,MALDAH,HABIBPUR,AKTAIL,BINODPUR,BINODPUR,Iron,1/4/2011
CHATTISGARH,DHAMTARI,DHAMTARI,BHAWARMARA,BHARARI,MAIN HABITAT,Iron,1/4/2010
CHATTISGARH,KORIYA,KHADGAWANA,THAGGAON,THANGAON,MATIYAGHUTA,Iron,1/4/2011
RAJASTHAN,JODHPUR,BALESAR,KETU MADA,KETOO MANAWATA,DURGA RAM KD,Salinity,1/4/2012
BIHAR,SUPAUL,SUPAUL,TELWA,TELWA,TELWA,Iron,1/4/2009
ASSAM,DARRANG,PACHIM-MANGALDAI,ROWMARI,NO.2 ROWMARI,NO 2 ROWMARI,Iron,1/4/2011
ORISSA,KANDHAMAL,RAIKIA,MANDAKIA,PAJIGALU,ADINAJU,Iron,1/4/2011
RAJASTHAN,SAWAI MADHOPUR,BAMANWAS,BINZARI,BINJARI,RAMSWAROOP SARPANCH KI DHANI,Salinity,1/4/2010
BIHAR,SUPAUL,SARAIGARH BHAPTIYAHI,JHALA DUMRI,JHILA DUMRI,KUMHAR TOLA,Iron,1/4/2012
ASSAM,KAMRUP,CHHAYGAON,CHAMPAK NAGAR,NOAPARA.,GOSWANI MATH,Iron,1/4/2010
ASSAM,NAGAON,MAIRABARI PT.,MOIRADHAJ,MAIRA DHAJ,UTTAR KADAMGURI,Iron,1/4/2010
BIHAR,PURNIA,AMOUR,DALMALPUR,BELKA,KAMAR TOLA,Iron,1/4/2009
RAJASTHAN,BARMER,SINDHARY,KHUDASA,BAKSHE KA TALA,MAGE KA PARA,Salinity,1/4/2011
RAJASTHAN,BARMER,SIWANA,SINER,BALIYANA,MUTH PIPLIYA MAHADEV,Salinity,1/4/2009
RAJASTHAN,BARMER,BALOTRA,JAGSA,JAGSA,LUNIYON KI DHANI,Salinity,1/4/2011
KARNATAKA,KOLAR,SRINIVASAPURA,MUDIMADUGU,M. THUMALAPALLI,BAGGALAGATTA,Nitrate,1/4/2010
BIHAR,SUPAUL,BASANTPUR,NIRMALI,NIRMALI,KHETBE TOLA-2,Iron,1/4/2011
BIHAR,PURNIA,KRITYANAND NAGAR,BITHNAULI WEST,BITHNAULI KHEMCHAND,BHOK RAHA,Iron,1/4/2009
RAJASTHAN,BARMER,SHEO,SWAMI KA GAON,BARSINGA,BARSINGA,Salinity,1/4/2011
ORISSA,KORAPUT,POTTANGI,CHANDAKA,PANGIGUDA,PANGIGUDA,Iron,1/4/2012
ASSAM,UDALGURI,KHAIRABARI,KHAIRABARI,RANGAGAON,DWOL CHUBA,Iron,1/4/2009
TRIPURA,WEST TRIPURA,BISHALGARH,CHAMPAMURA,PURBA CHAMPAMURA,PART OF JANGALIA,Iron,1/4/2011
RAJASTHAN,BARMER,DHORIMANA,SUDA BERI,SUDABERI KHURD,RUPANIO KI DHANI,Salinity,1/4/2009
ORISSA,MAYURBHANJ,THAKURMUNDA,THAKURMUNDA,THAKURMUNDA,THAKURMUNDA,Iron,1/4/2009
JHARKHAND,SIMDEGA,KOLEBIRA,KOLEBIRA,KOLEBIRA,KOLEBIRA,Iron,1/4/2010
BIHAR,KATIHAR,KADWA,PELAGARH,POTHIA,POTHI,Iron,1/4/2010
KERALA,PALAKKAD,ALATHUR,VADAKKENCHERRY,VADAKKANCHERI-II,THEKKETHARA,Iron,1/4/2009
BIHAR,MADHEPURA,KUMARKHAND,RANI PATI SUKHASAN,GHORDAUL,GHORDAUL,Iron,1/4/2009
RAJASTHAN,DUNGARPUR,BICHHIWARA,RENTA,JURA,JUDA,Nitrate,1/4/2011
ASSAM,SONITPUR,CHATIA,SOOTEA NO.6,GHAHIGAON,GHAHI TATI PARA,Iron,1/4/2012
ASSAM,SONITPUR,CHATIA,SOOTEA NO.1,ADABHETI,MORISUTI SOUTH BANK,Iron,1/4/2009
KARNATAKA,MANDYA,NAGAMANGALA,JAVARANAHALLI,KANNAGATTA,KANNAGATTA,Fluoride,1/4/2009
ASSAM,JORHAT,JORHAT NORTH WEST,UTTAR  BALI GAON  PORBOTIA   G.P.,1 NO. DEURI GAON.,SOLMORA BORMER,Iron,1/4/2009
UTTAR PRADESH,BAHRAICH,PHAKHARPUR,BHILAURA KAJI,BHILAURA KAJI,BHILAURA KAJI,Arsenic,1/4/2009
ANDHRA PRADESH,MAHABOOBNAGAR(14),PEBBAIR (53),BUNYADPUR(13),BUNYADPUR(013 ),BUNYADPUR(1419653013011300),Fluoride,1/4/2009
KARNATAKA,YADGIR,SHORAPUR,HEBBAL(B),HEBBAL(B),HEBBAL(B),Fluoride,1/4/2011
WEST BENGAL,JALPAIGURI,MAYNAGURI,SAPTIBARI-I,SAPTIBARI,MOLLAR BARI,Iron,1/4/2012
BIHAR,BEGUSARAI,TEGHRA,BAROUNI-III,BAROUNI (PART),HARIZON TOLA,Iron,1/4/2012
KARNATAKA,CHITRADURGA,HIRIYUR ,J.G.HALLY ,MURUMANEHATTY,MURUMANEHATTY,Iron,1/4/2011
RAJASTHAN,BARMER,CHOHTAN,KAPRAU,ISHWARPURA,GODARO KI DHANI,Salinity,1/4/2010
BIHAR,NALANDA,GIRIAK,GAZIPUR,KAIRUA,KAIRUA,Fluoride,1/4/2011
ASSAM,BARPETA,RUPSI PT.,KALGACHIA,GUNIALGURI,MADHYA GUNIAL GURI,Iron,1/4/2009
RAJASTHAN,JODHPUR,BALESAR,KETU KALLAN,KETOO KALAN,PIDIYARO KD,Salinity,1/4/2010
RAJASTHAN,BARMER,BARMER,HATHMA,AJAB PURA,KESRANI JATO KI DHANI,Salinity,1/4/2012
MADHYA PRADESH,JHABUA,THANDLA,SEMALPADA,NAWAPADA KALIRUNDI,TITODI,Fluoride,1/4/2011
JHARKHAND,PASCHIM SINGHBHUM,JAGANNATHPUR,DAMGUA POSI,KALAIYA,TANTI SAI,Iron,1/4/2009
RAJASTHAN,BARMER,CHOHTAN,NETRAD,ADRASH NAGAR,SEVRON KA TALA,Salinity,1/4/2010
CHATTISGARH,RAIGARH,DHARAMJAIGARH,THAKURPONDI,THAKURPONDI,DARRAPARA,Iron,1/4/2010
ORISSA,PURI,ASTARANG,CHHURIANA,SUNDAR,SUNDAR,Iron,1/4/2010
UTTAR PRADESH,RAE BARELI,JAGATPUR,SUDAMAPUR,SUDAMAPUR,PURE GADRIAN,Salinity,1/4/2011
WEST BENGAL,PURULIYA,PARA,DUBRA,KOLDI,KOLDIH,Fluoride,1/4/2009
RAJASTHAN,JODHPUR,SHERGARH,TENA,VIRADH NAGAR,BHOMJIRA KD,Salinity,1/4/2012
RAJASTHAN,JAISALMER,SAM,KEETA,PEETHORAI,LABHU KI DHANI,Fluoride,1/4/2009
KARNATAKA,DAVANGERE,HARAPPANAHALLI,HARAKANALU,HARAKANALU,KELAGINA THANDA,Fluoride,1/4/2009
RAJASTHAN,JAIPUR,JAMWA RAM,NATATA,NATATA,DHANI SINGALON KI,Fluoride,1/4/2009
RAJASTHAN,BARMER,SINDHARY,PAYLA KHURD,PANYALA KHURD,NETAR NADI,Salinity,1/4/2012
RAJASTHAN,DUNGARPUR,SIMALWARA,CHIKHLI,CHEEKHLI,CHIKHLI,Salinity,1/4/2009
BIHAR,NAWADA,RAJAULI,HARDIA,HARDIYA,SEC A,Fluoride,1/4/2009
BIHAR,SHEIKHPURA,SHEIKHPURA,GAGARI,RUDASI,RUDASI,Fluoride,1/4/2009
KARNATAKA,YADGIR,YADGIR,MOTONAHALLI,KOTGERA,KOTGERA,Nitrate,1/4/2012
RAJASTHAN,RAJSAMAND,BHIM,BAGHANA,CHAITA,ASAN,Nitrate,1/4/2009
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,RAMKRISHNA NAGAR,R.K.NAGAR -III,BIDHAN SMARANI -II,Iron,1/4/2009
ASSAM,SONITPUR,BEHALI,GANGMOUTHAN,BARBIL KACHARI,NEPALI  SUBA,Iron,1/4/2011
BIHAR,PURNIA,KRITYANAND NAGAR,GANGIALY,GANGAILI,RISHI TOLA,Iron,1/4/2010
RAJASTHAN,NAGAUR,MUNDWA,BIRLOKA,JASNATHPURA,JASHNATH KI DHANI,Fluoride,1/4/2011
BIHAR,SAHARSA,SONBARSA,BARGAW,BARGAON,BARGAW,Iron,1/4/2010
KARNATAKA,KOLAR,BANGARAPET,N.G. HULKUR,KADARIGANAKUPPA,KADARIGANAKUPPA,Salinity,1/4/2011
CHHATTISGARH,RAJNANDAGON,MOHALA                    (TD),TELITOLA,DUNDERA,SAHUPARA,Iron,1/4/2012
RAJASTHAN,BARMER,SINDHARY,ADEL,BHAMBHUON KA TALA,RATANANI DEDARO KI DHANI,Salinity,1/4/2010
MAHARASHTRA,KOLHAPUR,SHIROL,HAROLI,HAROLI,BEGHAR VASAHAT,Iron,1/4/2009
MAHARASHTRA,AMRAVATI,BHATKULI,WATHODA SHUKLESHWAR,WATHODA SHUKLESHWAR,WATHODA SHUKLESHWAR,Salinity,1/4/2010
MADHYA PRADESH,NEEMUCH,JAVAD,ATHAWA BUGURG,ATHWAN KHURD,ATHAWA KHURD,Iron,1/4/2009
RAJASTHAN,AJMER,MASUDA,SATAWARIYA,SATAWARIYA,NAYA GAON,Fluoride,1/4/2009
GUJARAT,PANCH MAHALS,SHEHERA,GUNELI,GUNELI,GUNELI GAMTAL,Fluoride,1/4/2009
BIHAR,ARARIA,BHARGAMA,RAGHUNATH PUR (S),RAGHUNATH PUR,RAGHUNATHPUR GOTH,Iron,1/4/2009
BIHAR,MADHEPURA,KISHANGANJ,LAXMIPUR,TELDIHA,NAVTOLIA,Iron,1/4/2012
RAJASTHAN,BARMER,BAITU,KANODA,MEGWALO KI BASTEE,UTAMO JI KD,Salinity,1/4/2010
CHHATTISGARH,KAWARDHA,PANDARIYA,AAMANIYA,SEJADIH,KHALHEPARA,Iron,1/4/2012
WEST BENGAL,MURSHIDABAD,DOMKAL,RAIPUR,RAYPUR,SITALNAGAR,Arsenic,1/4/2009
ASSAM,NAGAON,KATHIATOLI,MADHAPARA,UZANMARI,BALIJAN CHUBURI,Iron,1/4/2010
TRIPURA,NORTH TRIPURA,JUBARAJNAGAR,ZAITHANG,ZAITHANG,ZAITHANG,Iron,1/4/2012
MADHYA PRADESH,CHHINDWARA,PARASIYA,MUNGA,MUNGA,GHANA DHANA.,Fluoride,1/4/2009
UTTAR PRADESH,BALLIA,BELHARI,UDAIVANT CHHAPRA,NAME CHHAPRA,NAME CHHAPRA,Arsenic,1/4/2009
RAJASTHAN,NAGAUR,PARBATSAR,BIDIYAD,BIDIYAD,GUJRON KI DHANI,Salinity,1/4/2009
RAJASTHAN,UDAIPUR,SARADA,PAL SARADA,KHAR,DHEDA BEDLA FALA,Fluoride,1/4/2011
TRIPURA,DHALAI  ,DUMBURNAGAR,BHAGIRATH,BHAGIRATH PARA,BHAGIRATH-II,Iron,1/4/2010
CHATTISGARH,KANKER,KANKER,VYASKONGERRA,VYASKONGERA,MANJHAPARA,Iron,1/4/2009
BIHAR,KISHANGANJ,THAKURGANJ,KURI DANGI,CHHAITAL,MILIK BASTI,Iron,1/4/2010
ASSAM,SONITPUR,CHAIDUAR,AMJARANI,AMJARANI,TUNKAPAR BANUA,Iron,1/4/2009
MADHYA PRADESH,BETUL,MULTAI,JAMBADI,JAMBADI,JAMBADI,Fluoride,1/4/2012
TRIPURA,KHOWAI,TULASIKHAR,PURBA RAJNGAR,FALKA BARI,KUCHIA PARA,Iron,1/4/2012
BIHAR,BEGUSARAI,TEGHRA,GOURA-I,GOURA (PART),DOM TOLA,Iron,1/4/2009
ORISSA,BALESHWAR,BHANAGA,GOPALPUR,JALAKHATUA,JALAKHATUA,Iron,1/4/2009
